s15_kw,s16_kw,s1_kw
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.671,0.715,0.04
1.212,1.293,0.08
2.167,2.312,0.15
0.39,0.416,0.03
0.182,0.195,0.01
1.8,1.92,0.12
1.488,1.588,0.1
0.529,0.565,0.04
0.254,0.271,0.02
0.318,0.338,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.036,1.106,0.07
2.627,2.802,0.18
5.423,5.785,0.36
9.976,10.642,0.67
12.629,13.472,0.84
12.83,13.686,0.86
10.759,11.476,0.72
10.303,10.99,0.69
6.049,6.453,0.4
0.811,0.866,0.06
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.277,4.563,0.29
6.584,7.023,0.44
8.78,9.366,0.59
12.386,13.213,0.83
14.355,15.312,0.96
14.465,15.429,0.96
13.324,14.211,0.89
10.659,11.37,0.71
6.91,7.371,0.46
3.634,3.877,0.24
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.614,0.655,0.04
1.811,1.931,0.12
3.543,3.779,0.24
2.095,2.234,0.14
0.52,0.554,0.03
1.712,1.826,0.11
3.386,3.612,0.23
0.491,0.524,0.03
0.603,0.644,0.04
0.225,0.241,0.02
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.854,0.912,0.06
1.513,1.615,0.1
1.527,1.63,0.1
2.277,2.43,0.15
1.838,1.961,0.12
2.924,3.119,0.2
0.466,0.496,0.03
1.542,1.645,0.1
1.36,1.451,0.09
0.617,0.657,0.04
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.236,3.452,0.22
7.879,8.405,0.53
